trip_id,date_raw,time_of_day,season,route_number,corridor,cbd_stage,sacco,vehicle_type,vehicle_name,capacity,passenger_count,fare_kes,distance_km,fuel_type,fuel_consumption,payment_method,revenue_kes,fuel_price_per_unit
TRP001387,1767187860,Aftenoon,short rains,30,Westlands,Kencom,Oma Services,Electric,BasiGo E-Bus,49,49,KES150,15.55 km,Electric,49.73,M-Pesa,7350,25.3/=
TRP004940,44969,afternoon,Dry Season,8B,Kibra,Railways,KBS,Standard,Standard Unit,33 pax,33,112,15.1,diesel,21.2 litres/100km,CASH,3686/-,KES182.26
TRP006173,45987,morning,short rains,33J,Jogoo Road,Muthurwa,Embassava,Nganya,B613,33-seater,33,50,4,petrol,22.8 L/100km,M-PESA,1650,KES196.40
TRP011608,45839,MORNING,DRY SEASON,8B,Kibra,Railways,East Shuttle,Standard,Standard Unit,14,14,128.67,11km,Diesel,24.5 L/100km,M-Pesa,KSH 1801/=,193.56
TRP007918,45844,afternoon,Dry Season,34E,Embakasi,OTC,Embassava,nganya,Transformer,14,14,KES166,17.58 km,Diesel,29.1l/100km,Cash,2321,KES201.49
TRP009242,45235,Afternoon,Short Rains,33A,Pipeline,OTC,Forward Travelers,Standard,Standard Unit,14,14,KSH 54/=,6.6,Diesel,31.8 litres/100km,cash,753.56,Ksh 189.62
TRP011373,45239,AFTERNOON,DRY SEASON,73,Outering Road,OTC,CITY SHUTTLE,Standard,Standard Unit,25,25,146,20.50 km,Diesel,27.87,Cash,KES3638,KES183.62
TRP011817,45907,MORNING,Dry Season,14B,Eastleigh,Odeon,Embassava,Standard,Standard Unit,25,25,Ksh 150,25.7,Diesel,21.94,Mpesa,Ksh 3750,Ksh 204.59
TRP016608,45783,Aftenoon,LONG RAINS,46,Kawangware,Kencom,kbs,STANDARD,Standard Unit,14,14,KSH 130/=,12.64 km,Diesel,18.6 L/100km,Cash,1817,Ksh 189.71
TRP011974,45172,AFTERNOON,long rains,34,Langata Road,Kencom,EMBASSAVA,Standard,Standard Unit,25 seater,25,150,25.12 km,diesel,23.71,M-Pesa,3750,Ksh 175.40
TRP002285,45904,MORNING,Dry Season,69,Outering Road,OTC,City Shuttle,STANDARD,Standard Unit,33 seater,33,150,16,DIESEL,20.7l/100km,M-Pesa,4950,183.5/=
TRP013389,23/05/2025,Evning,Long Rains,48A,Lavington-Kawangware,Ambassador,City Shuttle,nganya,Catalyst,25,25,200,27.2,Diesel,25.1 litres/100km,MPESA ,KSH 5000/=,183.31
TRP004261,19/02/2024,PM,Dry Season,111,Ngong Road,Railways,Super Metro,Standard,Standard Unit,25-seater,25,150,25.10 km,Diesel,29.8 L/100km,M-Pesa,KES3750,157.2/=
TRP007802,45124,Evning,Dry Season,14A,Eastleigh,Odeon,Latema,standard,Standard Unit,25-seater,25,52.7,5,Diesel,31.1l/100km,Cash,KSH 1318/=,175.33
TRP001474,45141,Morning,DRY SEASON,34F,Fedha,OTC,nicco movers,Standard,Standard Unit,14,14,150,27.1,Diesel,21.0 L/100km,CASH,KSH 2100/=,KES187.05
TRP004417,45613,MORNING,short rains,33J,Jogoo Road,Muthurwa,Forward Travelers,Nganya,Godfather,33,33,200/-,24km,Diesel,29.2 L/100km,Mpesa,KES6600,173.9/=
TRP013821,45824,Evening,dry season,8B,Kibra,Railways,ONGATA LINE,STANDARD,Standard Unit,14 seater,14,150,19.62 km,Petrol,24.8 litres/100km,mpesa,2100/-,214.31
TRP008199,45512,Evening,DRY SEASON,73,Outering Road,OTC,OMA Services,Nganya,Lightning,25,25,200,21.31 km,DIESEL,19.2 litres/100km,Cash,Ksh 5000,Ksh 175.87
TRP006525,16/05/2025,Evening,Long Rains,34E,Embakasi,OTC,embassava,Standard,Standard Unit,14,14,103.46,7.2,PETROL,19.0l/100km,M-Pesa,Ksh 1449,209.54
TRP012325,23/06/2023,Afternoon,Dry Season,EXP1,Nyayo Estate-Westlands,Railways,Oma Services,ELECTRIC,BasiGo E-Bus,33,33,79,12.10 km,electric,36.45,mpesa,Ksh 2609,24.9/=
TRP012600,45401,night,Long Rains,69,Outering Road,OTC,Zuri,Standard,Standard Unit,25,25,KSH 150/=,17.4,Diesel,26.4 litres/100km,M-Pesa,Ksh 3750,Ksh 156.85
TRP014232,03.05.2024,Morning,long rains,KU1,Kenyatta University,Odeon,FORWARD TRAVELERS,Nganya,Dragon,25-seater,25,114/-,7,DIESEL,18.9l/100km,Cash,2858,166.15
TRP001907,45998,Night,Dry Season,8B,Kibra,Railways,Nicco Movers,Standard,Standard Unit,14,14,Ksh 120,14.08 km,diesel,22.1 litres/100km,Mpesa,1673,Ksh 200.45
TRP010898,45823,Morning,dry season,36,Dandora,OTC,Forward Travelers,STANDARD,Standard Unit,25,25,KSH 150/=,24km,Petrol,23.37,CASH,Ksh 3750,217.97
TRP011766,45940,Afternoon,short rains,30,Westlands,Ambassador,Zuri,Standard,Standard Unit,33 seater,33,105,12.69 km,diesel,25.8 L/100km,Cash,3459,Ksh 191.90
TRP005449,45140,evening,Dry Season,33,Pipeline,OTC,Forward Travelers,NGANYA,Opposite,33,33,145/-,13.8,Diesel,30.3 litres/100km,cash,4790,179.1/=
TRP005917,45273,MORNING,short rains,8,Pangani,Railways,Nicco Movers,nganya,Rongai King,25,25,85.2,6.6,DIESEL,23.18,CASH,Ksh 2130,178.6/=
TRP004101,45648,Nyt,Short Rains,111,Ngong Road,Railways,OMA SERVICES,Nganya,Night Nurse,14,14,KSH 174/=,13km,Diesel,19.2 litres/100km,Cash,Ksh 2443,Ksh 174.37
TRP015915,45021,Afternoon,Long Rains,11A,Langata Road,Railways,manchester,Standard,Standard Unit,25-seater,25,137,12,Diesel,22.2l/100km,M-Pesa,3415,Ksh 192.89
TRP004844,45968,Evning,Short Rains,73,Outering Road,OTC,City Shuttle,Nganya,Manchesa,33 seater,33,200/-,19km,DIESEL,19.38,M-Pesa,6600,KES196.11
TRP007939,45842,afternoon,Dry Season,56,Lavington-Kawangware,Kencom,CITI HOPPA,STANDARD,Standard Unit,33,33,50,6.5,Petrol,29.4l/100km,CASH,Ksh 1650,Ksh 219.17
TRP013487,45535,Morning,DRY SEASON,34F,Fedha,OTC,Embassava,Standard,Standard Unit,25,25,KES50,4.3,Diesel,25.11,CASH,Ksh 1250,KES161.43
TRP001562,45388,Aftenoon,Long Rains,33,Pipeline,OTC,ONGATA LINE,Standard,Standard Unit,33-seater,33,KES102,12.78 km,Diesel,20.15,Mpesa,3372/-,175.69
TRP005775,45466,Morning,DRY SEASON,56,Lavington-Kawangware,Kencom,KBS,STANDARD,Standard Unit,33-seater,33,Ksh 150,24.2,Diesel,23.5l/100km,M-PESA,4950,Ksh 162.59
TRP014591,45362,Mornig,short rains,46,Kawangware,Kencom,OMA SERVICES,Electric,BasiGo E-Bus,25 seater,25,68/-,5km,electric,51.84,M-Pesa,Ksh 1698,Ksh 25.00
TRP012006,24/07/2024,night,Dry Season,69,Outering Road,OTC,Citi Hoppa,Electric,BasiGo E-Bus,25 seater,25,125,17km,Electric,41.45,Cash,3125.82,KES26.05
TRP008788,45165,Mornig,Dry Season,KU1,Kenyatta University,Odeon,kenya mpya,Nganya,Moxie,33 pax,33,200,22.4,Petrol,25.7 L/100km,M-PESA,Ksh 6600,Ksh 188.64
TRP006491,45141,Evening,DRY SEASON,46,Kawangware,Ambassador,KBS,Standard,Standard Unit,33,33,102.1,8.7,DIESEL,18.2l/100km,MPESA ,Ksh 3369,KES190.19
TRP016606,45796,NIGHT,Long Rains,11A,Langata Road,Muthurwa,East Shuttle,STANDARD,Standard Unit,33 seater,33,KSH 50/=,4.3,DIESEL,20.6l/100km,MPESA ,Ksh 1650,202.1/=
TRP007859,45965,Morning,Short Rains,14A,Eastleigh,Odeon,East Shuttle,standard,Standard Unit,33,33,KSH 150/=,15,Diesel,18.0 L/100km,MPESA ,4950,190.48
TRP002609,45562,PM,dry season,25,Huruma-Mathare,Muthurwa,2NK,NGANYA,Kixx,25 seater,25,KES103,12km,DIESEL,20.4 L/100km,Cash,2587/-,167.3/=
TRP003743,45767,Aftenoon,long rains,56,Lavington-Kawangware,Kencom,kbs,NGANYA,Night Nurse,25 seater,25,126,13.7,diesel,22.26,M-PESA,3154.8,Ksh 193.02
TRP012179,44963,Morning,Dry Season,34,Langata Road,Kencom,2Nk,Standard,Standard Unit,25,25,KSH 126/=,16,Petrol,23.18,M-PESA,3139,197.67
TRP000935,45179,PM,DRY SEASON,69,Outering Road,OTC,City Shuttle,STANDARD,Standard Unit,14,14,70.03,10.1,Diesel,21.7 litres/100km,cash,980,190.2/=
TRP008457,45152,Evening,Dry Season,25,Huruma-Mathare,Muthurwa,OMA SERVICES,Standard,Standard Unit,33,33,88,7.2,DIESEL,26.8l/100km,Cash,2912.46,KES191.22
TRP003468,17.06.2025,EVENING,DRY SEASON,25,Huruma-Mathare,Muthurwa,oma services,Standard,Standard Unit,33,33,54,6,petrol,19.66,Cash,KSH 1795/=,Ksh 215.23
TRP002451,20/12/2025,Evning,Short Rains,28,Huruma-Mathare,Muthurwa,2NK,STANDARD,Standard Unit,33 pax,33,150,18.15 km,diesel,21.95,cash,4950,193.6/=
TRP006263,45161,Late Night,Dry Season,14A,Eastleigh,Odeon,Forward Travelers,Standard,Standard Unit,25-seater,25,Ksh 66,6.84 km,PETROL,29.1 L/100km,M-PESA,1657,211.53
TRP016885,45295,Evning,dry season,28,Huruma-Mathare,Muthurwa,Kenya Mpya,STANDARD,Standard Unit,14,14,150,21,Diesel,22.2l/100km,cash,2100,KES159.50
TRP007060,44977,Morning,DRY SEASON,73,Outering Road,OTC,Kbs,Electric,BasiGo E-Bus,49-seater,49,132.97,16km,Electric,46.9kwh,Mpesa,Ksh 6515,26.06
TRP008527,44977,afternoon,Dry Season,112,Kikuyu,Railways,OMA Services,STANDARD,Standard Unit,14,14,115.17,14.4,DIESEL,22.28,Cash,Ksh 1612,188.4/=
TRP006236,45943,PM,SHORT RAINS,30,Westlands,Kencom,oma services,Electric,BasiGo E-Bus,25,25,87/-,11.7,ELECTRIC,54.7 kWh/100km,mpesa,2174,Ksh 25.83
TRP004286,45196,AM,DRY SEASON,110,Kitengela,Kencom,MANCHESTER,Nganya,Overload,25,25,127,11,Petrol,19.6 litres/100km,CASH,3165,KES190.61
TRP011747,23/03/2025,Afternoon,LONG RAINS,112,Kikuyu,Muthurwa,SUPER METRO,STANDARD,Standard Unit,25 seater,25,150,22.3,DIESEL,26.7 L/100km,Cash,3750,198.9/=
TRP015056,45066,MORNING,Long Rains,14A,Eastleigh,Odeon,2NK,STANDARD,Standard Unit,25,25,150,27,Diesel,19.0l/100km,cash,3750,186.4/=
TRP008314,45183,AFTERNOON,Dry Season,23A,Westlands,Railways,Kenya Mpya,NGANYA,X-Trail,33 seater,33,200,20.62 km,Petrol,19.57,Cash,KES6600,209.19
TRP016338,45456,Nyt,DRY SEASON,73,Outering Road,OTC,Citi Hoppa,Electric,BasiGo E-Bus,49,49,145,15,electric,44.1 kWh/100km,Cash,Ksh 7084,24.27
TRP010481,45896,PM,Dry Season,100,Kiambu,Odeon,City Shuttle,Nganya,Catalyst,33,33,138,14.9,Diesel,27.5l/100km,Cash,4564,191.6/=
TRP012605,45164,afternoon,Dry Season,34F,Fedha,OTC,Embassava,NGANYA,Kanambo,14,14,176,20km,Diesel,20.7 litres/100km,cash,Ksh 2465,Ksh 177.21
TRP008285,45208,Late Night,Dry Season,56,Lavington-Kawangware,Kencom,East Shuttle,Electric,BasiGo E-Bus,49,49,148/-,17.9,Electric,42.3kwh,Cash,7269,24.42
TRP009331,45134,MORNING,dry season,25,Huruma-Mathare,Muthurwa,KENYA MPYA,Standard,Standard Unit,25 pax,25,150,22.40 km,Diesel,23.27,Mpesa,3750,189.8/=
TRP014458,45516,Evning,Dry Season,8B,Kibra,Railways,Citi Hoppa,STANDARD,Standard Unit,25,25,KSH 150/=,22.2,Diesel,26.3 litres/100km,M-Pesa,3750,Ksh 158.13
TRP002907,45923,Evening,Dry Season,46,Kawangware,Odeon,Citi Hoppa,Standard,Standard Unit,14,14,150/-,15.9,Diesel,18.2 litres/100km,CASH,KSH 2100/=,188.0/=
TRP015387,21/03/2025,Mornig,Long Rains,EXP1,Nyayo Estate-Westlands,Railways,2nk,Standard,Standard Unit,14,14,Ksh 101,8.35 km,Diesel,23.6 litres/100km,cash,KES1409,KES184.72
TRP003863,45211,Eve,Short Rains,100,Kiambu,Odeon,Zuri,Nganya,Money Fest,33 pax,33,200,22,Diesel,24.8 L/100km,M-Pesa,KSH 6600/=,Ksh 180.57
TRP007167,45047,Late Night,LONG RAINS,8,Pangani,Railways,SUPER METRO,Standard,Standard Unit,33,33,150,19.3,Petrol,28.3 L/100km,MPESA ,KES4950,195.2/=
TRP016803,45650,evening,short rains,56,Lavington-Kawangware,Kencom,East Shuttle,Electric,BasiGo E-Bus,25,25,150,25.04 km,Electric,49.81,Mpesa,3750/-,Ksh 23.89
TRP012826,45810,Night,DRY SEASON,30,Westlands,Kencom,Citi Hoppa,Nganya,Night Nurse,33 seater,33,KSH 200/=,-3,DIESEL,27.1 L/100km,CASH,Ksh 6600,200.8/=
TRP008671,45770,Night,Long Rains,102,Kikuyu,Railways,2Nk,Standard,Standard Unit,33 seater,33,150,17.2,DIESEL,25.8 litres/100km,Mpesa,4950,193.8/=
TRP006063,45817,AFTERNOON,Dry Season,8,Pangani,Railways,Super Metro,Nganya,Moneyfest,14 pax,14,74/-,10.7,Diesel,27.4 L/100km,MPESA ,KSH 1035/=,KES193.45
TRP016136,44946,AFTERNOON,Dry Season,25,Huruma-Mathare,Muthurwa,Forward Travelers,Nganya,Kixx,25 seater,25,177,20,Diesel,21.7 L/100km,MPESA ,4422,193.56
TRP007226,45786,Aftenoon,long rains,110,Kitengela,OTC,Ongata Line,Nganya,Rogue,33,33,200/-,26.62 km,Diesel,21.3 L/100km,Mpesa,6600,Ksh 188.09
TRP016335,45109,Afternoon,Dry Season,KU1,Kenyatta University,Odeon,Nicco Movers,Standard,Standard Unit,14,14,Ksh 104,12km,Diesel,25.06,M-PESA,1455.96,192.3/=
TRP007326,45180,PM,Dry Season,46,Kawangware,Kencom,2NK,nganya,Transformer,25 seater,25,Ksh 132,18.2,Diesel,30.2 litres/100km,MPESA ,KES3299,191.76
TRP007339,45634,afternoon,Short Rains,69,Outering Road,OTC,CITY SHUTTLE,Standard,Standard Unit,33-seater,33,86,8.77 km,DIESEL,21.1 litres/100km,MPESA ,KES2845,164.8/=
TRP008882,45116,night,Dry Season,48A,Lavington-Kawangware,Ambassador,East Shuttle,Standard,Standard Unit,33,33,Ksh 150,26.2,Diesel,24.1 L/100km,Mpesa,4950/-,KES173.67
TRP003278,28/12/2024,afternoon,Short Rains,73,Outering Road,OTC,2NK,Standard,Standard Unit,25 pax,25,124,12,Diesel,28.4l/100km,Mpesa,3110,170.2/=
TRP005506,45640,evening,Short Rains,33J,Jogoo Road,Muthurwa,Forward Travelers,Standard,Standard Unit,25-seater,25,79,6.1,Diesel,23.0 litres/100km,Cash,KSH 1969/=,173.37
TRP008962,16/08/2024,afternoon,Dry Season,8,Pangani,Railways,latema,Standard,Standard Unit,25,25,76,10km,Diesel,27.74,Cash,1895/-,163.5/=
TRP006086,45674,AM,DRY SEASON,KU1,Kenyatta University,Odeon,Ongata Line,Standard,Standard Unit,14 seater,14,130/-,13km,Diesel,19.97,Cash,KES1814,182.8/=
TRP000077,1689628140,night,Dry Season,23A,Westlands,Railways,Super Metro,Nganya,Baba Yaga,14 seater,14,104,9.78 km,Diesel,31.4 litres/100km,MPESA ,1459,184.22
TRP003482,45966,Aftenoon,SHORT RAINS,33J,Jogoo Road,Muthurwa,Forward Travelers,Nganya,Godfather,14-seater,14,200,26km,Diesel,30.0l/100km,M-Pesa,KES2800,200.6/=
TRP003194,45830,Late Night,Dry Season,36,Dandora,OTC,OMA SERVICES,Electric,BasiGo E-Bus,49 seater,49,Ksh 117,16.3,Electric,37.09,M-PESA,5740.65,25.06
TRP014797,45082,Late Night,Long Rains,25,Huruma-Mathare,Muthurwa,2nk,Standard,Standard Unit,33,33,Ksh 115,14.98 km,Petrol,20.8 litres/100km,M-Pesa,Ksh 3791,191.4/=
TRP007267,45073,Nyt,Long Rains,KU1,Kenyatta University,Odeon,nicco movers,Nganya,Manchesa,33-seater,33,188,18km,Diesel,24.28,Mpesa,6219,190.3/=
TRP012699,45033,Evening,Long Rains,34,Langata Road,Kencom,OMA Services,Standard,Standard Unit,25 seater,25,Ksh 150,26.01 km,Diesel,22.1 L/100km,Cash,3750,191.43
TRP016683,45995,Evening,short rains,102,Kikuyu,Railways,Embassava,STANDARD,Standard Unit,25 pax,25,150,25.6,Diesel,27.5 L/100km,CASH,3750,Ksh 203.13
TRP002417,45950,Evning,Short Rains,KU1,Kenyatta University,Odeon,kenya mpya,nganya,Night Nurse,33 pax,33,154.55,10.75 km,Diesel,23.3l/100km,CASH,5100/-,KES202.86
TRP006715,45661,PM,long rains,30,Westlands,Kencom,Ongata Line,Standard,Standard Unit,25,25,50,5,Diesel,21.64,M-PESA,1250,200.8/=
TRP006201,44942,PM,Dry Season,EXP1,Nyayo Estate-Westlands,Railways,Latema,nganya,Opposite,14 seater,14,Ksh 188,20.8,Diesel,28.5 litres/100km,MPESA ,KSH 2637/=,KES178.50
TRP000385,16/06/2023,morning,dry season,MWI1,Mwiki-Upper Hill,Odeon,Nicco Movers,Nganya,John Wick,33,33,200,20.8,Diesel,24.1l/100km,cash,6600,KES171.91
TRP005201,45809,afternoon,Dry Season,46,Kawangware,Kencom,Citi Hoppa,Nganya,Matrix,14,14,200,20.3,PETROL,19.9 litres/100km,M-Pesa,2800,KES211.98
TRP005774,45694,Late Night,dry season,34,Langata Road,OTC,City Shuttle,Nganya,Baba Yaga,33 seater,33,148.57,12km,Diesel,31.3l/100km,CASH,Ksh 4903,193.79
TRP000179,45276,afternoon,Short Rains,33,Pipeline,Afya Centre,Embassava,NGANYA,Scorpion,14-seater,14,200,24.9,Diesel,22.33,MPESA ,2800,177.8/=
TRP004134,45742,Nyt,Long Rains,100,Kiambu,Odeon,ongata line,STANDARD,Standard Unit,14-seater,14,150,25km,DIESEL,27.9 litres/100km,mpesa,2100/-,Ksh 192.10
TRP008295,1697124360,afternoon,Short Rains,14A,Eastleigh,Odeon,EMBASSAVA,STANDARD,Standard Unit,33 pax,33,KES145,16.6,Diesel,21.4l/100km,M-PESA,4791.03,KES177.96
TRP010789,45199,morning,DRY SEASON,30,Westlands,Kencom,Citi Hoppa,Nganya,Night Nurse,33 seater,33,KES200,19km,Diesel,30.44,cash,KSH 6600/=,KES176.10
TRP008685,45149,Aftenoon,Dry Season,30,Westlands,Kencom,Citi Hoppa,Nganya,Kixx,25,25,Ksh 200,22.1,Diesel,21.82,Cash,5000,183.88
TRP002680,45575,evening,short rains,34F,Fedha,OTC,Embassava,STANDARD,Standard Unit,14 seater,14,Ksh 78,5,Diesel,21.6 L/100km,M-PESA,1091,172.9/=
TRP002995,45835,Mornig,dry season,33J,Jogoo Road,Muthurwa,Forward Travelers,Standard,Standard Unit,25,25,86/-,8,Diesel,27.3 litres/100km,Cash,Ksh 2162,184.7/=
TRP002530,45497,Late Night,Dry Season,MWI1,Mwiki-Upper Hill,Odeon,Citi Hoppa,Electric,BasiGo E-Bus,25,25,107,10.30 km,electric,46.9 kWh/100km,M-PESA,2670/-,26.02
TRP001382,45515,MORNING,dry season,56,Lavington-Kawangware,Kencom,CITI HOPPA,STANDARD,Standard Unit,33-seater,33,KES59,5.2,Diesel,30.18,Cash,1940.11,175.3/=
TRP010021,45035,Aftenoon,long rains,25,Huruma-Mathare,Afya Centre,Ongata Line,Nganya,John Wick,25,25,167/-,18.1,DIESEL,25.8 L/100km,Cash,4180.79,Ksh 191.85
TRP003833,45633,Morning,Short Rains,125,Rongai,Railways,oma services,Nganya,Mood,25-seater,25,200/-,22.53 km,DIESEL,20.8 L/100km,MPESA ,5000,Ksh 175.12
TRP007690,45992,PM,SHORT RAINS,33J,Jogoo Road,Muthurwa,embassava,Nganya,Godfather,33-seater,33,166/-,19km,Diesel,31.1 litres/100km,M-Pesa,5471,KES187.56
TRP012489,45120,morning,Dry Season,46,Kawangware,Kencom,Citi Hoppa,standard,Standard Unit,25,25,KES140,13.7,Diesel,23.4l/100km,M-Pesa,3499/-,KES188.83
TRP013181,45105,EVENING,dry season,112,Kikuyu,Railways,City Shuttle,Standard,Standard Unit,33,33,109.23,10.53 km,diesel,23.6 litres/100km,Mpesa,3605,Ksh 177.93
TRP009546,45837,afternoon,dry season,105,Kikuyu,Railways,Forward Travelers,Nganya,Transformer,25-seater,25,Ksh 50,6,diesel,28.7l/100km,Mpesa,1250,Ksh 199.69
TRP012829,45894,Aftenoon,Dry Season,100,Kiambu,Ambassador,2Nk,STANDARD,Standard Unit,33-seater,33,90,12,Diesel,24.4l/100km,MPESA ,2956.83,KES201.92
TRP012915,45028,morning,long rains,EXP1,Nyayo Estate-Westlands,Railways,Manchester,Nganya,Prestige,33,33,142,8km,Petrol,24.85,cash,Ksh 4687,190.8/=
TRP015065,45334,evening,Dry Season,14B,Eastleigh,Odeon,kenya mpya,STANDARD,Standard Unit,33,33,150,26,diesel,25.5 litres/100km,mpesa,Ksh 4950,Ksh 158.65
TRP011983,45050,Afternoon,Long Rains,28,Huruma-Mathare,Muthurwa,Forward Travelers,Nganya,Kanambo,25,25,200,27,diesel,20.2 L/100km,M-Pesa,5000,Ksh 185.64
TRP015393,21/12/2023,AFTERNOON,Short Rains,110,Kitengela,OTC,2NK,STANDARD,Standard Unit,33,33,150,18.26 km,DIESEL,28.9l/100km,mpesa,4950,176.5/=
TRP007792,45875,afternoon,DRY SEASON,14A,Eastleigh,Odeon,CITI HOPPA,NGANYA,Moxie,14,14,Ksh 110,14.8,Diesel,26.9 L/100km,CASH,Ksh 1534,203.0/=
TRP003748,44999,Night,Long Rains,14A,Eastleigh,Odeon,KBS,Standard,Standard Unit,14,14,55,4.8,diesel,23.37,MPESA ,773,181.2/=
TRP012078,45527,Aftenoon,Dry Season,33A,Pipeline,OTC,Forward Travelers,NGANYA,Matrix,14,14,KES134,14.9,DIESEL,20.7l/100km,M-PESA,1872/-,157.66
TRP001436,45857,Afternoon,Dry Season,46,Kawangware,Kencom,KBS,Standard,Standard Unit,25,25,KES71,8,DIESEL,28.06,MPESA ,1781/-,Ksh 195.71
TRP011517,45741,AFTERNOON,Long Rains,34,Langata Road,Kencom,manchester,standard,Standard Unit,25 seater,25,78.51,9,diesel,27.1 L/100km,mpesa,KSH 1963/=,KES181.58
TRP003044,31/08/2024,MORNING,dry season,56,Lavington-Kawangware,Kencom,East Shuttle,Electric,BasiGo E-Bus,25 seater,25,150,22.72 km,Electric,35.52,M-PESA,3750,25.09
TRP009822,45612,afternoon,Short Rains,14A,Eastleigh,Odeon,City Shuttle,STANDARD,Standard Unit,14 seater,14,KSH 128/=,16km,diesel,20.7l/100km,cash,1797,176.08
TRP010322,45352,morning,Dry Season,34E,Embakasi,OTC,Embassava,standard,Standard Unit,25 seater,25,Ksh 150,22.8,Diesel,24.7,mpesa,3750,176.6/=
TRP011105,23/10/2024,Afternoon,short rains,14B,Eastleigh,Odeon,Latema,STANDARD,Standard Unit,25,25,74,8.78 km,diesel,18.2 L/100km,mpesa,KSH 1860/=,Ksh 172.90
TRP003746,13/03/2023,morning,Long Rains,23A,Westlands,Railways,Manchester,Standard,Standard Unit,25,25,70,4.9,DIESEL,31.1 L/100km,mpesa,1742,Ksh 185.60
TRP012889,45180,MORNING,SHORT RAINS,14B,Eastleigh,Odeon,KBS,Nganya,Mood,25,25,161,14,Diesel,27.3 litres/100km,mpesa,4017.22,KES174.17
TRP009732,45395,Eve,Long Rains,110,Kitengela,OTC,Latema,nganya,Dragon,25,25,Ksh 189,13.55 km,diesel,21.9,Cash,KSH 4721/=,167.4/=
TRP007852,45504,Aftenoon,dry season,8,Pangani,Railways,latema,NGANYA,Nyoka,33,33,194/-,22,Diesel,23.84,cash,KSH 6387/=,Ksh 157.36
TRP006752,45007,AFTERNOON,Long Rains,8B,Kibra,Railways,City Shuttle,nganya,John Wick,33-seater,33,200,25.3,Diesel,25.12,MPESA ,6600,187.67
TRP010059,45500,Aftenoon,Dry Season,23A,Westlands,Railways,Embassava,standard,Standard Unit,33 seater,33,150/-,25.76 km,Petrol,30.1 litres/100km,mpesa,Ksh 4950,191.2/=
TRP010654,28/08/2023,Aftenoon,Dry Season,8,Pangani,Railways,Forward Travelers,Standard,Standard Unit,25 seater,25,Ksh 64,7.3,PETROL,19.83,Mpesa,1609/-,194.5/=
TRP005843,45142,Mornig,Dry Season,EXP1,Nyayo Estate-Westlands,Muthurwa,Latema,standard,Standard Unit,14 seater,14,KSH 150/=,24km,Diesel,20.5 litres/100km,M-Pesa,KSH 2100/=,190.92
TRP000200,45472,Mornig,Dry Season,46,Kawangware,Kencom,Citi Hoppa,Nganya,Transformer,25,25,125,12,diesel,29.8l/100km,cash,3116.25,KES168.34
TRP008970,45592,EVENING,SHORT RAINS,46,Kawangware,Kencom,OMA Services,Electric,BasiGo E-Bus,33,33,KES71,6.94 km,Electric,36.8kwh,Mpesa,KSH 2342/=,KES26.25
TRP002249,03.04.2023,morning,Long Rains,33,Pipeline,OTC,Embassava,Nganya,Scorpion,25 pax,25,182,15.90 km,Diesel,31.43,MPESA ,4539/-,KES180.00
TRP008133,25/05/2023,Late Night,LONG RAINS,73,Outering Road,OTC,KBS,Electric,BasiGo E-Bus,33 seater,33,65,7.5,Electric,50.2 kWh/100km,CASH,Ksh 2152,25.74
TRP011577,45675,evening,Dry Season,69,Outering Road,OTC,OMA Services,NGANYA,Catalyst,33-seater,33,Ksh 168,14.99 km,Diesel,31.62,Mpesa,5550,KES181.51
TRP003359,45245,evening,Short Rains,KU1,Kenyatta University,Odeon,Citi Hoppa,Standard,Standard Unit,14-seater,14,Ksh 150,13.60 km,DIESEL,25.1 L/100km,M-Pesa,2100/-,KES190.98
TRP012203,45182,Aftenoon,Dry Season,14A,Eastleigh,Odeon,KBS,standard,Standard Unit,25-seater,25,96.96,12,Diesel,28.72,Mpesa,Ksh 2424,185.69
TRP014474,45846,Afternoon,dry season,14A,Eastleigh,Odeon,zuri,STANDARD,Standard Unit,25 pax,25,KSH 69/=,9km,Diesel,27.4l/100km,cash,KES1713,186.7/=
TRP002587,45553,Nyt,dry season,102,Kikuyu,Railways,Kenya Mpya,standard,Standard Unit,33 seater,33,150,21km,Diesel,28.5l/100km,M-Pesa,Ksh 4950,KES165.79
TRP002706,45815,Night,Dry Season,14B,Eastleigh,Odeon,OMA Services,Standard,Standard Unit,25-seater,25,KES150,27km,Diesel,23.9 litres/100km,M-Pesa,Ksh 3750,KES188.79
TRP012946,44932,Evening,Dry Season,111,Ngong Road,Railways,Embassava,Standard,Standard Unit,25,25,101.78,10.77 km,diesel,25.2l/100km,MPESA ,2544,193.2/=
TRP000210,45351,MORNING,Dry Season,11A,Langata Road,Railways,Manchester,nganya,Moxie,33,33,200/-,25.1,Petrol,19.6 litres/100km,mpesa,KES6600,Ksh 181.89
TRP010300,45943,Evening,Short Rains,8,Pangani,Railways,Zuri,Nganya,Opposite,25-seater,25,200,20,diesel,24.41,mpesa,KES5000,Ksh 191.81
TRP000211,45298,Night,Dry Season,112,Kikuyu,Railways,KBS,Nganya,Lightning,25,25,123/-,14.2,Diesel,25.4 L/100km,Mpesa,Ksh 3086,166.4/=
TRP005460,45967,NIGHT,Short Rains,73,Outering Road,OTC,CITY SHUTTLE,nganya,Rogue,33 seater,33,Ksh 152,9km,Diesel,24.8 litres/100km,M-PESA,5016.89,Ksh 204.00
